Compensation,Education,Title,Company_Size,Gender,Count
"1,000 to 1,999",Professional degree,Software Engineer,50-249 employees,Male,1
"1,000 to 1,999",Professional degree,Other,50-249 employees,Male,1
"1,000 to 1,999",Some college/university,Data Engineer,"> 10,000 employees",Female,1
"1,000 to 1,999",Some college/university,Software Engineer,"1000-9,999 employees",Male,1
"1,000 to 1,999",Some college/university,Other,50-249 employees,Male,1
"1,000 to 1,999",High School,Software Engineer,"1000-9,999 employees",Male,1
"1,000 to 1,999",I prefer not to answer,Data Analyst,"> 10,000 employees",Female,1
"1,000 to 1,999",I prefer not to answer,Software Engineer,0-49 employees,Female,1
"1,000 to 1,999",I prefer not to answer,Other,50-249 employees,Male,1
$0 to 999,Doctoral degree,Research Scientist,"> 10,000 employees",Male,1
$0 to 999,Doctoral degree,Research Scientist,"> 10,000 employees",Female,1
$0 to 999,Doctoral degree,Research Scientist,250-999 employees,Male,2
$0 to 999,Doctoral degree,Research Scientist,50-249 employees,Male,1
$0 to 999,Doctoral degree,Research Scientist,50-249 employees,Female,2
$0 to 999,Doctoral degree,Research Scientist,0-49 employees,Male,3
$0 to 999,Doctoral degree,Research Scientist,0-49 employees,Female,4
$0 to 999,Doctoral degree,Data Scientist,"1000-9,999 employees",Female,1
$0 to 999,Doctoral degree,Data Scientist,250-999 employees,Male,1
$0 to 999,Doctoral degree,Data Scientist,0-49 employees,Male,1
$0 to 999,Doctoral degree,Data Scientist,0-49 employees,Female,1
$0 to 999,Doctoral degree,Business Analyst,250-999 employees,Female,1
$0 to 999,Doctoral degree,Statistician,50-249 employees,Female,1
$0 to 999,Doctoral degree,Statistician,0-49 employees,Male,1
$0 to 999,Doctoral degree,Statistician,0-49 employees,Not Mentioned,1
$0 to 999,Doctoral degree,Data Analyst,250-999 employees,Male,1
$0 to 999,Doctoral degree,Data Analyst,0-49 employees,Male,2
$0 to 999,Doctoral degree,Data Analyst,0-49 employees,Female,1
$0 to 999,Doctoral degree,Other,"1000-9,999 employees",Male,2
$0 to 999,Doctoral degree,Other,250-999 employees,Male,2
$0 to 999,Doctoral degree,Other,250-999 employees,Female,1
$0 to 999,Doctoral degree,Other,50-249 employees,Male,6
$0 to 999,Doctoral degree,Other,50-249 employees,Female,1
$0 to 999,Doctoral degree,Other,0-49 employees,Female,2
$0 to 999,Master's degree,Research Scientist,250-999 employees,Female,1
$0 to 999,Master's degree,Research Scientist,0-49 employees,Male,2
$0 to 999,Master's degree,Data Scientist,"> 10,000 employees",Male,3
$0 to 999,Master's degree,Data Scientist,"> 10,000 employees",Female,4
$0 to 999,Master's degree,Data Scientist,"1000-9,999 employees",Male,3
$0 to 999,Master's degree,Data Scientist,"1000-9,999 employees",Female,1
$0 to 999,Master's degree,Data Scientist,250-999 employees,Male,5
$0 to 999,Master's degree,Data Scientist,50-249 employees,Male,3
$0 to 999,Master's degree,Data Scientist,50-249 employees,Female,3
$0 to 999,Master's degree,Data Scientist,0-49 employees,Male,16
$0 to 999,Master's degree,Data Scientist,0-49 employees,Female,11
$0 to 999,Master's degree,Product/Project Manager,"> 10,000 employees",Male,1
$0 to 999,Master's degree,Product/Project Manager,"1000-9,999 employees",Female,2
$0 to 999,Master's degree,Product/Project Manager,50-249 employees,Male,1
$0 to 999,Master's degree,Product/Project Manager,0-49 employees,Male,1
$0 to 999,Master's degree,Business Analyst,"> 10,000 employees",Male,2
$0 to 999,Master's degree,Business Analyst,250-999 employees,Male,1
$0 to 999,Master's degree,Business Analyst,50-249 employees,Male,1
$0 to 999,Master's degree,Business Analyst,0-49 employees,Male,2
$0 to 999,Master's degree,Business Analyst,0-49 employees,Female,2
$0 to 999,Master's degree,Statistician,"1000-9,999 employees",Female,1
$0 to 999,Master's degree,Statistician,0-49 employees,Male,3
$0 to 999,Master's degree,Statistician,0-49 employees,Female,2
$0 to 999,Master's degree,Data Analyst,"> 10,000 employees",Male,2
$0 to 999,Master's degree,Data Analyst,"> 10,000 employees",Female,2
$0 to 999,Master's degree,Data Analyst,"1000-9,999 employees",Male,2
$0 to 999,Master's degree,Data Analyst,250-999 employees,Male,1
$0 to 999,Master's degree,Data Analyst,50-249 employees,Male,4
$0 to 999,Master's degree,Data Analyst,0-49 employees,Male,15
$0 to 999,Master's degree,Data Analyst,0-49 employees,Female,2
$0 to 999,Master's degree,Data Engineer,50-249 employees,Male,1
$0 to 999,Master's degree,Data Engineer,0-49 employees,Male,2
$0 to 999,Master's degree,Data Engineer,0-49 employees,Female,1
$0 to 999,Master's degree,DBA/Database Engineer,0-49 employees,Male,1
$0 to 999,Master's degree,Software Engineer,"> 10,000 employees",Male,8
$0 to 999,Master's degree,Software Engineer,"> 10,000 employees",Female,2
$0 to 999,Master's degree,Software Engineer,"1000-9,999 employees",Female,1
$0 to 999,Master's degree,Software Engineer,250-999 employees,Male,5
$0 to 999,Master's degree,Software Engineer,250-999 employees,Female,1
$0 to 999,Master's degree,Software Engineer,50-249 employees,Male,3
$0 to 999,Master's degree,Software Engineer,50-249 employees,Female,1
$0 to 999,Master's degree,Software Engineer,0-49 employees,Male,13
$0 to 999,Master's degree,Software Engineer,0-49 employees,Female,4
$0 to 999,Master's degree,Other,"> 10,000 employees",Female,1
$0 to 999,Master's degree,Other,"1000-9,999 employees",Male,1
$0 to 999,Master's degree,Other,250-999 employees,Male,2
$0 to 999,Master's degree,Other,250-999 employees,Female,2
$0 to 999,Master's degree,Other,50-249 employees,Male,1
$0 to 999,Master's degree,Other,50-249 employees,Female,1
$0 to 999,Master's degree,Other,0-49 employees,Male,7
$0 to 999,Master's degree,Other,0-49 employees,Female,3
$0 to 999,Master's degree,Other,0-49 employees,Self Describe,1
$0 to 999,Bachelor's degree,Research Scientist,"1000-9,999 employees",Male,2
$0 to 999,Bachelor's degree,Research Scientist,50-249 employees,Male,1
$0 to 999,Bachelor's degree,Research Scientist,0-49 employees,Male,6
$0 to 999,Bachelor's degree,Research Scientist,0-49 employees,Female,1
$0 to 999,Bachelor's degree,Data Scientist,"> 10,000 employees",Male,6
$0 to 999,Bachelor's degree,Data Scientist,"> 10,000 employees",Female,2
$0 to 999,Bachelor's degree,Data Scientist,"> 10,000 employees",Not Mentioned,1
$0 to 999,Bachelor's degree,Data Scientist,"1000-9,999 employees",Male,2
$0 to 999,Bachelor's degree,Data Scientist,"1000-9,999 employees",Female,1
$0 to 999,Bachelor's degree,Data Scientist,250-999 employees,Male,6
$0 to 999,Bachelor's degree,Data Scientist,50-249 employees,Male,9
$0 to 999,Bachelor's degree,Data Scientist,50-249 employees,Female,1
$0 to 999,Bachelor's degree,Data Scientist,0-49 employees,Male,32
$0 to 999,Bachelor's degree,Data Scientist,0-49 employees,Female,3
$0 to 999,Bachelor's degree,Data Scientist,0-49 employees,Not Mentioned,1
$0 to 999,Bachelor's degree,Product/Project Manager,50-249 employees,Female,1
$0 to 999,Bachelor's degree,Business Analyst,"> 10,000 employees",Male,2
$0 to 999,Bachelor's degree,Business Analyst,"1000-9,999 employees",Male,2
$0 to 999,Bachelor's degree,Business Analyst,50-249 employees,Male,1
$0 to 999,Bachelor's degree,Business Analyst,50-249 employees,Female,1
$0 to 999,Bachelor's degree,Business Analyst,0-49 employees,Male,4
$0 to 999,Bachelor's degree,Business Analyst,0-49 employees,Female,2
$0 to 999,Bachelor's degree,Statistician,50-249 employees,Male,1
$0 to 999,Bachelor's degree,Statistician,0-49 employees,Male,1
$0 to 999,Bachelor's degree,Data Analyst,"> 10,000 employees",Male,4
$0 to 999,Bachelor's degree,Data Analyst,"> 10,000 employees",Female,1
$0 to 999,Bachelor's degree,Data Analyst,"1000-9,999 employees",Male,6
$0 to 999,Bachelor's degree,Data Analyst,250-999 employees,Male,1
$0 to 999,Bachelor's degree,Data Analyst,50-249 employees,Male,7
$0 to 999,Bachelor's degree,Data Analyst,50-249 employees,Female,1
$0 to 999,Bachelor's degree,Data Analyst,0-49 employees,Male,17
$0 to 999,Bachelor's degree,Data Analyst,0-49 employees,Female,5
$0 to 999,Bachelor's degree,Data Engineer,"> 10,000 employees",Male,6
$0 to 999,Bachelor's degree,Data Engineer,"1000-9,999 employees",Male,2
$0 to 999,Bachelor's degree,Data Engineer,250-999 employees,Male,1
$0 to 999,Bachelor's degree,Data Engineer,50-249 employees,Male,1
$0 to 999,Bachelor's degree,Data Engineer,50-249 employees,Female,1
$0 to 999,Bachelor's degree,Data Engineer,0-49 employees,Male,4
$0 to 999,Bachelor's degree,Data Engineer,0-49 employees,Not Mentioned,1
$0 to 999,Bachelor's degree,DBA/Database Engineer,0-49 employees,Male,1
$0 to 999,Bachelor's degree,Software Engineer,"> 10,000 employees",Male,12
$0 to 999,Bachelor's degree,Software Engineer,"> 10,000 employees",Female,2
$0 to 999,Bachelor's degree,Software Engineer,"1000-9,999 employees",Male,3
$0 to 999,Bachelor's degree,Software Engineer,250-999 employees,Male,4
$0 to 999,Bachelor's degree,Software Engineer,50-249 employees,Male,8
$0 to 999,Bachelor's degree,Software Engineer,50-249 employees,Female,1
$0 to 999,Bachelor's degree,Software Engineer,0-49 employees,Male,23
$0 to 999,Bachelor's degree,Software Engineer,0-49 employees,Female,2
$0 to 999,Bachelor's degree,Other,"> 10,000 employees",Male,9
$0 to 999,Bachelor's degree,Other,"> 10,000 employees",Female,1
$0 to 999,Bachelor's degree,Other,"1000-9,999 employees",Male,2
$0 to 999,Bachelor's degree,Other,250-999 employees,Male,1
$0 to 999,Bachelor's degree,Other,50-249 employees,Male,1
$0 to 999,Bachelor's degree,Other,0-49 employees,Male,9
$0 to 999,Bachelor's degree,Other,0-49 employees,Female,1
$0 to 999,Bachelor's degree,Other,0-49 employees,Not Mentioned,1
$0 to 999,Professional degree,Research Scientist,50-249 employees,Female,2
$0 to 999,Professional degree,Research Scientist,0-49 employees,Female,1
$0 to 999,Professional degree,Data Scientist,0-49 employees,Male,1
$0 to 999,Professional degree,Data Scientist,0-49 employees,Female,1
$0 to 999,Professional degree,Product/Project Manager,50-249 employees,Male,1
$0 to 999,Professional degree,Business Analyst,250-999 employees,Male,1
$0 to 999,Professional degree,Data Analyst,"> 10,000 employees",Male,2
$0 to 999,Professional degree,Data Analyst,"1000-9,999 employees",Female,1
$0 to 999,Professional degree,Data Analyst,250-999 employees,Male,1
$0 to 999,Professional degree,Data Analyst,50-249 employees,Male,1
$0 to 999,Professional degree,Data Analyst,0-49 employees,Male,6
$0 to 999,Professional degree,Data Analyst,0-49 employees,Female,1
$0 to 999,Professional degree,Software Engineer,"> 10,000 employees",Male,2
$0 to 999,Professional degree,Software Engineer,0-49 employees,Male,1
$0 to 999,Professional degree,Other,"> 10,000 employees",Female,1
$0 to 999,Professional degree,Other,50-249 employees,Male,1
$0 to 999,Professional degree,Other,0-49 employees,Male,1
$0 to 999,Professional degree,Other,0-49 employees,Female,1
$0 to 999,Some college/university,Data Scientist,50-249 employees,Male,1
$0 to 999,Some college/university,Data Scientist,0-49 employees,Male,3
$0 to 999,Some college/university,Data Scientist,0-49 employees,Female,1
$0 to 999,Some college/university,Data Analyst,"> 10,000 employees",Male,1
$0 to 999,Some college/university,Data Analyst,0-49 employees,Male,2
$0 to 999,Some college/university,Data Engineer,0-49 employees,Male,1
$0 to 999,Some college/university,Software Engineer,0-49 employees,Male,1
$0 to 999,Some college/university,Software Engineer,0-49 employees,Female,1
$0 to 999,Some college/university,Other,0-49 employees,Male,3
$0 to 999,High School,Research Scientist,0-49 employees,Female,1
$0 to 999,High School,Data Analyst,0-49 employees,Male,1
$0 to 999,High School,Software Engineer,"1000-9,999 employees",Male,1
$0 to 999,High School,Software Engineer,0-49 employees,Male,1
$0 to 999,I prefer not to answer,Data Scientist,50-249 employees,Male,1
$0 to 999,I prefer not to answer,Statistician,250-999 employees,Male,1
$0 to 999,I prefer not to answer,Data Analyst,"1000-9,999 employees",Male,1
$0 to 999,I prefer not to answer,Data Engineer,0-49 employees,Female,1
$0 to 999,I prefer not to answer,Software Engineer,"> 10,000 employees",Male,2
$0 to 999,I prefer not to answer,Software Engineer,50-249 employees,Male,1
$0 to 999,I prefer not to answer,Other,0-49 employees,Male,1
